molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL475818,active,7.119186407719209,C#CC(C)(C)c1cc(N=C(C)C)cc(C(=O)Nc2ccc(C)c(C(=O)Nc3cccnc3)c2)c1,452.55800000000016,5.9177200000000045,2.0,4.0
CHEMBL4203441,active,7.610833915635467,C#CC(C)(C)c1cccc(C(=O)Nc2ccc(C)c(Nc3ccc4ncn(C)c(=O)c4c3)c2)c1,450.54200000000014,5.148620000000004,2.0,4.0
CHEMBL3974840,active,7.0,C#CCCC(=O)Nc1nc2ccc(C(=O)c3ccccc3C(=O)Nc3ccc(F)cc3)cc2[nH]1,454.4610000000001,4.537200000000002,3.0,4.0
CHEMBL3905522,active,7.0,C#CCCC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)cc2[nH]1,450.4980000000002,3.7642000000000024,3.0,4.0
CHEMBL3898105,active,7.0,C#CCOC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)ccc2[nH]1,452.4700000000002,3.594000000000002,3.0,5.0
CHEMBL3949703,active,7.0,C#Cc1c(F)ccc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F,474.4230000000002,3.8545000000000016,3.0,5.0
CHEMBL5896210,active,8.033858267260968,C#Cc1c(Nc2c(F)ccc(NS(=O)(=O)CCC)c2Cl)ccc2ncn(C)c(=O)c12,448.90700000000015,3.6026000000000025,2.0,5.0
CHEMBL3912908,active,7.0,C#Cc1cc(C)cc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1,452.4700000000002,3.8847200000000024,3.0,5.0
CHEMBL3909553,active,7.0,C#Cc1cc(Cl)cc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1C,486.9150000000002,4.538120000000003,3.0,5.0
CHEMBL3947006,active,7.0,C#Cc1cc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c(F)cc1F,474.4230000000002,3.8545000000000016,3.0,5.0
